neuron_id,oscillation,mean_angle,var,p,session_name,group_name,experiment_name,group,neuron_type,width_basepost,mean_firing_rate,cv_isi_burst
2037,theta,-0.03,0.95,0.0,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SR,59.31257001648018,4.157152130218574,0.3333219139415901
2038,delta,2.57,0.94,0.0,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SR,55.44937811039898,2.8172930631109043,0.3599977619971869
2038,theta,1.91,0.94,0.0,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SR,55.44937811039898,2.8172930631109043,0.3599977619971869
2041,delta,-0.57,0.94,0.0,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SIR,16.492801518893742,2.6898246547591604,0.6971854851489645
2041,theta,-0.06,0.99,0.61,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SIR,16.492801518893742,2.6898246547591604,0.6971854851489645
2047,delta,1.08,0.74,0.0,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SR,65.43961405477097,2.35337619961897,0.781029086466603
2047,theta,-2.82,0.94,0.05,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SR,65.43961405477097,2.35337619961897,0.781029086466603
2048,delta,0.48,0.9,0.0,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SR,49.029755551234445,5.19878940878024,0.6066420659810078
2048,theta,2.5,0.96,0.05,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SR,49.029755551234445,5.19878940878024,0.6066420659810078
2049,delta,0.48,0.89,0.0,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,FF,56.976241079094535,11.115762987788145,0.678181764690418
2049,theta,1.39,0.97,0.0,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,FF,56.976241079094535,11.115762987788145,0.678181764690418
2050,delta,1.13,0.9,0.0,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SR,72.71099690970584,6.565172784395488,0.7832835915687788
2050,theta,2.58,0.96,0.03,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SR,72.71099690970584,6.565172784395488,0.7832835915687788
2052,delta,1.35,0.95,0.0,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SR,70.09758193816089,4.060918530091437,0.8176647563987895
2052,theta,1.48,0.95,0.02,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SR,70.09758193816089,4.060918530091437,0.8176647563987895
2053,delta,0.75,0.88,0.0,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SR,,5.270057148651634,0.2050845124769085
2053,theta,2.06,0.96,0.04,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SR,,5.270057148651634,0.2050845124769085
2055,delta,2.16,0.95,0.01,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SR,71.49971229445805,1.7179867714922883,0.7658676268739824
2055,theta,1.42,0.93,0.02,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SR,71.49971229445805,1.7179867714922883,0.7658676268739824
2057,delta,0.59,0.88,0.0,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SR,64.53313984298578,6.708840386031666,0.2728926725669229
2057,theta,1.59,0.97,0.25,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SR,64.53313984298578,6.708840386031666,0.2728926725669229
2058,delta,1.16,0.8,0.0,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SR,74.85853014523448,3.4216227550490474,0.7178953804808272
2058,theta,1.66,0.95,0.01,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SR,74.85853014523448,3.4216227550490474,0.7178953804808272
2059,delta,1.2,0.89,0.0,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SR,56.30554305691686,4.648805381713357,0.591574711101231
2059,theta,0.83,0.97,0.25,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SR,56.30554305691686,4.648805381713357,0.591574711101231
2060,delta,0.86,0.87,0.0,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SR,51.05906425712709,5.052011893214174,0.2856849047653403
