neuron_id,n_sw,n_act,Mean_sw,Mean_act,Diff,U,p,sig,Diff_raw
1267,1233.0,566.0,0.31,-0.68,-1.0,541549.0,0.0,True,-0.87
1269,1233.0,566.0,0.36,-0.79,-1.16,579056.5,0.0,True,-1.98
1270,1233.0,566.0,0.28,-0.62,-0.9,529065.0,0.0,True,-1.09
1271,1233.0,566.0,0.06,-0.12,-0.18,359676.0,0.0,True,-0.03
1272,1233.0,566.0,0.23,-0.5,-0.72,494037.0,0.0,True,-1.44
1273,1233.0,566.0,0.03,-0.07,-0.1,375844.5,0.0,True,-0.15
1274,1233.0,566.0,0.05,-0.12,-0.17,383236.5,0.0,True,-0.14
1276,1233.0,566.0,0.0,-0.0,-0.0,351884.5,0.78,False,-0.0
1277,1233.0,566.0,0.21,-0.45,-0.66,487146.5,0.0,True,-0.84
1278,1233.0,566.0,0.01,-0.02,-0.03,351043.0,0.53,False,-0.0
1279,1233.0,566.0,0.02,-0.05,-0.07,351103.0,0.2,False,-0.01
1280,1233.0,566.0,0.2,-0.44,-0.65,475206.0,0.0,True,-0.8
1281,1233.0,566.0,0.18,-0.39,-0.57,446279.0,0.0,True,-0.41
1282,1233.0,566.0,0.07,-0.16,-0.24,372785.0,0.0,True,-0.07
1283,1233.0,566.0,-0.05,0.12,0.17,310362.0,0.0,True,0.39
1284,1233.0,566.0,0.25,-0.55,-0.8,507436.0,0.0,True,-0.82
1285,1233.0,566.0,0.22,-0.48,-0.71,485802.0,0.0,True,-0.7
1286,1233.0,566.0,-0.01,0.01,0.02,348353.0,0.77,False,0.0
1287,1233.0,566.0,0.11,-0.23,-0.33,423740.0,0.0,True,-0.6
1288,1233.0,566.0,-0.04,0.09,0.13,324218.0,0.0,True,0.06
1289,1233.0,566.0,-0.06,0.12,0.18,319383.5,0.01,True,0.36
1291,1233.0,566.0,-0.14,0.3,0.44,301395.5,0.0,True,0.19
1292,1233.0,566.0,-0.09,0.2,0.29,325767.5,0.02,True,0.23
1293,1233.0,566.0,0.04,-0.08,-0.12,360816.0,0.02,True,-0.04
1294,1233.0,566.0,0.36,-0.79,-1.16,590998.0,0.0,True,-1.45
1296,1233.0,566.0,-0.11,0.23,0.34,301717.5,0.0,True,0.2
1299,1233.0,566.0,-0.19,0.42,0.61,237136.5,0.0,True,0.83
1301,1233.0,566.0,-0.2,0.43,0.62,237694.0,0.0,True,0.43
1302,1233.0,566.0,-0.36,0.78,1.13,133527.5,0.0,True,1.27
1303,1233.0,566.0,-0.25,0.55,0.8,204683.0,0.0,True,1.12
1304,1233.0,566.0,-0.22,0.49,0.71,217188.0,0.0,True,0.48
1305,1233.0,566.0,0.05,-0.12,-0.17,379459.5,0.0,True,-0.12
1306,1233.0,566.0,-0.05,0.12,0.17,328101.0,0.0,True,0.07
1310,1233.0,566.0,-0.07,0.16,0.23,326082.0,0.0,True,0.08
1311,1233.0,566.0,-0.1,0.21,0.31,330718.0,0.0,True,0.05
1312,1233.0,566.0,0.38,-0.82,-1.2,580782.0,0.0,True,-1.6
1314,1233.0,566.0,0.1,-0.21,-0.31,411448.5,0.0,True,-0.52
1315,1233.0,566.0,0.29,-0.64,-0.93,525684.0,0.0,True,-1.02
1316,1233.0,566.0,-0.05,0.11,0.16,329483.0,0.06,False,0.21
