pop_true,shuffle,session_name,window,window_start,window_stop
0.47362632783965475,0.4739577919984069,hamilton_07,1.3 - 1.4,1.4,1.4
0.4736809003705565,0.47401535878078155,hamilton_08,1.3 - 1.4,1.4,1.4
0.473563184551435,0.4740245547812255,hamilton_19,1.3 - 1.4,1.4,1.4
0.4737150993222693,0.47383433231418537,hamilton_20,1.3 - 1.4,1.4,1.4
0.48725925306143436,0.48723820315402955,hamilton_01,1.4 - 1.5,1.5,1.5
0.4872425790643106,0.487392714394409,hamilton_02,1.4 - 1.5,1.5,1.5
0.4871730996659185,0.487158733370523,hamilton_13,1.4 - 1.5,1.5,1.5
0.4886939200386558,0.4886971410738821,hamilton_14,1.4 - 1.5,1.5,1.5
0.4871725830392,0.4871515333676794,hamilton_23,1.4 - 1.5,1.5,1.5
0.48710866071176034,0.48733527724047815,hamilton_07,1.4 - 1.5,1.5,1.5
0.48717414575412976,0.48725930167436216,hamilton_08,1.4 - 1.5,1.5,1.5
0.4870739092106685,0.4873689881008774,hamilton_19,1.4 - 1.5,1.5,1.5
0.48717087095032696,0.48719498959026575,hamilton_20,1.4 - 1.5,1.5,1.5
